# PROOFS FOR THE ASSERTIONS LISTED BELOW. Not "every assertion in check.py" -- an earlier
# version of this header claimed that and was false: seven assertions had no row at all.
# Claiming coverage you do not have is the defect this whole skill is built against, so the
# scope of this file is now stated as what it is.
#
# Re-executed 2026-09-02 against the CURRENT tree, in an isolated copy under /tmp holding only
# flow-routing.md, papers-flow.md, index.md and coverage.md -- so that other authors' in-flight
# documents could not colour a result. Every mutation was applied to a SUBJECT (a document, the
# bibliography, the coverage map or the index), never to the guard, and reverted afterwards.
#
# WHY THE PREVIOUS VERSION OF THIS FILE WAS WRONG, recorded rather than quietly replaced:
#   - it claimed "every assertion"; seven had no row (no bibliography file, missing `type`,
#     bad `status`, `okf_version` outside the index, a `sources` entry with no `id`, a declared
#     source never cited in the body, and the duplication check)
#   - one row's mutation did not produce the output recorded beside it (+250 filler lines was
#     said to give 602 lines; the document is 102 lines, so it gave 352 and did not trip the cap)
#   - rows recorded before a rename still named `papers.md`, a file that no longer exists
#   - the locator row claimed "a citation a reader cannot check" and proved only that a KEY was
#     present -- `locator: ""` passed
#   - the front-matter row claimed the subset was enforced, proved for inline maps only, while
#     inline lists carried the identical unfixed bug
# All of these were found by an adversarial review, not by me.
#
# ── RE-EXECUTED 2026-09-06, PHASE 0 ──────────────────────────────────────────────────────────
# Every row below carrying a NUMBER was re-run against the current tree in an isolated copy
# under /tmp, and the numbers replaced with what the run printed. What moved, and why it is
# recorded rather than quietly corrected:
#   - row `per-document line cap` said "+400 filler lines (918 total)" against a 411-line
#     document. Both halves were wrong: the mutation writes `'\nfiller\n'*400`, which is 800
#     lines, not 400, and 411 + 800 is 1211, not 918. The register was enshrining a number
#     nobody had re-run -- the same defect its own header records for the previous version.
#   - the coverage-target row's line number moved 77 -> 88 as coverage.md grew.
#   - every REPORTED metric moved with the corpus: locators 24/133 -> 170/241, unread
#     22/232 -> 26/256, approximation 4/36 -> 7/37, propagation 15/245 -> 16/256, reach
#     18/193 -> 17/193, recommendation-first 19/20 -> 36/37.
#   - "69 of 196 entries wrap onto a continuation line" was stale twice over; the measured
#     figure is 88 of 214, which is what check_propagation's docstring already said. Two
#     places in the guard disagreed about the same count and neither was re-run.
#   - requote's ENUMERATION was re-run and moved: 119 -> 120 checkable quotations, 68 -> 71
#     carrying no resolvable citation id, plus exclusion counts the tool did not print at all
#     when the row was written (394 spans under the 40-character floor, 0 code/URL spans, 425
#     lines inside fences). Its LOCATION SPLIT -- 6 located, 1 not found, 112 UNFETCHED --
#     could NOT be re-run: that needs the 42-PDF artefact cache, which this session does not
#     have. It is left with the date it was taken and marked NOT RE-RUN rather than
#     re-asserted. A number nobody re-measured is exactly what this block is fixing.
# Two rows were also DOWNGRADED to the literal mutation each covers -- see them below.
#
# ── ADDED 2026-09-08: two guards for two criteria that shipped content and no instrument ─────
# The last seven rows of this file. `check_budget_agreement` closes criterion 6's "checked"
# (38 Tier lines, 0 compared to anything) and `check_paths` closes audit G#9 (a dangling `.md`
# cross-reference, on which check.py exited 0). Both are ENFORCED, not reported, and each has
# TWO CI rows -- red naming its own rule, then green with only that rule stubbed. Both were
# also run against a GUTTED version of their own function to prove no other check reports the
# mutation, which the stub pass implies and this makes explicit. The whole `bites` job was
# extracted from .github/workflows/gaia.yml with a YAML-aware splice and run under `bash -e`:
# 36 rows red-and-green, 5 decoys green, 0 attribution errors, exit 0, in 66 s. It was 33+4
# before this sitting. Two rows below are OPEN rather than PROVEN and say what they do not
# cover; one of those is G#9's own named instance, which is out of the new guard's declared
# reach and is filed for the owners of the four documents that carry it.
assertion	mutation	expected	observed	verdict
check_crossrefs() ITSELF is asserted, not only its three extractors	`return [], 0, 0, 0, 0` at the top of check_crossrefs(), then `--selftest`	red	GREEN, exit 0, before this sitting: all 20 extractor fixtures still passed, `python3 gaia/scripts/check.py` still exited 0, and the ONLY visible difference was that the whole `crossrefs` line disappeared from the report -- which nothing asserts. An assertion defined and never invoked, the identical hole this register already records for check_not_opened and for requote's `check()`. FIXED IN THIS SITTING: check_crossrefs gained a `root=` parameter and `--selftest` now runs the FUNCTION over CROSSREF_CORPUS, a four-file fixture corpus written to a temporary tree that reconstructs the shallow-water shape (a document against its own failure table, factor dropped), the iop_split shape (a document against the bibliography entry it cites, 5-20x against 0.75-1.20) and a cross-document positive (`A = h*lx/3` against `A = h*lx/2`), with two negative controls that must stay quiet: a bare `sqrt(g*A/l)` quoted in another document with no constant of its own, and every value once corrected. After the fix the same gutting mutation prints 4 failed assertions and exits 1. A VERIFIER THEN MUTATION-SCORED THE FIXTURE AND IT CAME BACK 7/10: reverting the fence skip, hardwiring `_offset` to `return 1`, and narrowing the escape to `if (va & vb)` all left it fully green. The fixture now also carries a fourth document (`fx-basin.md`), a FENCED duplicate entry in `papers-fx.md` and a decoy formula in `fx-tide.md`'s front matter, and every one of the seven mutations run against it is caught: gutting the function (4 assertions fail), reverting the fence skip (2), `head = base` (1), `_offset` -> `return 1` (1), `if (va & vb)` (3), `if (ua & ub)` (3), and deleting the cross-document both-ends-print-a-constant gate (2). None of it moves the real tree: 1/226 disagreements, reach 103/1097, check.py exit 0, report byte-identical to before the controls were added	PROVEN ONLY AFTER A FIX, and the fix is the point: the gate is now in the repository rather than in a /tmp copy nobody else can re-run. The corpus assertions are pinned to the LINE and to the CONSTANTS, and the two pins assert different things -- see the rows below, which correct a sentence this row used to make about `_offset` and record what closed the three holes a verifier's mutation score found. What NONE of them assert is anything about the real corpus -- a fixture corpus proves the instrument bites, never that the tree is clean
the entry scan does not read the bibliography's own documentation	none -- found by enumerating `_ID_OPENER` matches that fall INSIDE fenced blocks, after the fixture bibliography had to be written as one unwrapped line to be seen at all	no entry-shaped line inside a fence is registered as a side	THREE WERE. papers-flow.md:28 and papers-generation.md:19 are `- **id** `T` -- Author (Year)` format examples, and papers-flow.md:78 is a COPY OF THE REAL `beven1979` ENTRY inside a fence. check_crossrefs registered all three, and `entry_side[cid]` keeps whichever file sorts LAST, so a citation of [beven1979] -- terrain-analysis-masks.md:183 makes one -- was compared against whichever of the two copies came later in filename order. papers-flow sorts before papers-masks-and-filtering, where the real entry lives, so today the real entry happens to win. `_scan`, the bibliography reader in this same file, has skipped fences since it was written with a comment calling it `a guard tripping over its own documentation`; this loop was copied without that line. Fixed. No reported number moves on the current tree: 1/225 disagreements and reach 103/1101 before and after	FIXED, AND NOW ASSERTED -- it was not when it shipped. A verifier reverted only the fence skip: `--selftest` stayed fully green and the whole report came back BYTE-IDENTICAL, so the cure for `an assertion defined and never invoked` was itself an assertion never invoked, in the same function, in the same sitting. `papers-fx.md` in CROSSREF_CORPUS now carries a FENCED duplicate of its own `fx_split` entry quoting 900-999x. With the skip, fx-optics.md's citation is compared against the real entry at `papers-fx.md:8`, which the EXISTING pin already names; without it, `entry_side[cid]` keeps the fenced copy and the finding moves to `papers-fx.md:13` -- the pin fails AND the corrected corpus stops being quiet. Two assertions, both measured to bite before the control was kept. STILL LATENT rather than live on the real tree, and recorded because the reason it never fired there is filename order, not a rule -- move that fenced illustration into papers-rendering.md and the guard silently compares a citation against an example
a bibliography entry is compared IN FULL	none -- measured over the current tree: for every `- **id**` opener outside a fence, whether the following line is a continuation	n/a; this is an enumeration of what the guard reads	IT READS ONLY THE OPENER LINE. `sides[f"{p.name}#{cid}"] = _x_side(line, i)` is given one line, so 92 of the 225 entries (41%) -- the ones that wrap -- are compared on their first line only, and everything after the wrap is invisible. The one instance this guard does catch survives on luck: papers-simulation.md's `iop_split` is a single 1073-character line, so its `5-20x` was inside the window. Had that entry been wrapped the way 41% of its neighbours are, the same defect would have been reported as nothing at all	OPEN. The same blind spot the `[not-opened]` tag was once lost in -- see the row `a trailing [not-opened] is not swallowed`, which fixed it for that regex by reading both positions. It is not fixed here: joining the continuation lines would pool every number in a long entry into one magnitude set, and pooling is exactly what hid the `iop_split` disagreement in the first place (see `_x_blocks`, which splits table rows and entries apart for that reason). Reading a wrapped entry correctly needs a continuation model, not a bigger window
the escape that holds the false-positive count at 1 is asserted, both halves	narrowed `if (va & vb) or (ua & ub): continue` in check_crossrefs to each half alone, and separately deleted the cross-document `if na != nb and not (ua and ub)` gate. Each mutation run against BOTH the fixture corpus and the real tree	red on the fixture: this is the one tuning decision the guard's prose defends, so removing it should not be silent	IT WAS SILENT. `if (va & vb)` alone took the real tree from 1 finding to 7 -- adding driver-fields.md:352/stream-power.md:200, mask-to-material.md:57/:374, papers-simulation.md:57 against resolution-independence.md and against stream-power.md:126, resolution-independence.md/stream-power.md:87 and sea-ice.md:206/:356 -- with `--selftest` fully green. `if (ua & ub)` alone took it to 34, also green. `fx-basin.md` was added to close both halves at once: `4*Aw/P^2` in the body against `4*Aw/P^2 = 0.817` in the failure row has DISJOINT tuple sets ({(2.0, 4.0)} against {(0.817, 2.0, 4.0)}) whose flattened unions overlap, so only `or (ua & ub)` keeps it quiet; `h = V/Aw` at both ends has tuple sets {()} that intersect while the unions are EMPTY and cannot, so only `va & vb` does. Both keys must appear in NO finding of EITHER corpus, and the failure message names which half went. Deleting the cross-document gate takes the real tree 1 -> 5 and now fails the fixture too, on the bare `sqrt(g*A/l)` control that was already there	FIXED. `fx-basin.md` is the sea-ice.md:206-against-:356 shape -- a body stating a formula against a failure row stating the SAME formula with its evaluated value -- which is the commonest quiet shape in this corpus and the whole reason the escape exists. Until this control, the only thing standing behind that knob was a sentence in registers/corrections.tsv saying `a union would cry wolf`. Prose is not a test, and a guard whose single tuning decision can be deleted in silence is tuned by luck
`_offset` is asserted -- and NOT by the line pin, which cannot assert it	`def _offset(path: Path) -> int: return 1`, verified effective (17 -> 1 on shallow-water.md), then `--selftest` and the full run	red -- this register claimed the LINE pins `also assert that _offset ... point where the finding claims`	THE CLAIM WAS FALSE AND THE MUTANT SURVIVED. Every fixture line number, every real-corpus number (1 finding, 226 compared, reach 103/1097) and the caustics.md:56 text came back IDENTICAL, and `--selftest` exited 0. NO line pin can assert `_offset` and none ever could: check_crossrefs slices the body at `base` and then numbers it from that same `base`, so the two cancel exactly -- what `_offset` decides here is which lines are SCANNED, not what they are called. FIXED WITH A DECOY instead of a line: fx-tide.md's front matter now carries `sqrt(7*g*A/l)`, which shares the body's identifier key and is not body. With `_offset` right it is never read; with `_offset` at 1 the first pin reads `fx-tide.md:1 ... constants [2.0, 7.0]` where it should read `fx-tide.md:11 ... constants [2.0]`, and fails on both halves	FIXED, and the sentence it corrects is kept above rather than quietly deleted. The OTHER half of that sentence stands and is separately proven: `head = base` moves the second end of the first pin from `fx-tide.md:18` to `:9` and fails, so block-start attribution IS asserted. The `_offset` half was not, and a proof register stating more than its evidence supports is the one defect this file cannot afford -- it is the artefact everything else in the sitting is checked against. The decoy doubles as the guard's own stated limit made testable: front matter is NOT read, which is why heightfield-raymarching.md's front-matter locator is one of the three motivating instances this guard misses
the `**Tier:` line may not claim a budget regime the tags deny	virtual-texturing.md: `**Tier: real-time rasteriser.**` -> `**Tier: real-time and near-real-time rasteriser.**`, asserted UNIQUE in the file (count == 1)	red, naming the regime and the tag set	red -- "references/virtual-texturing.md:17: the `**Tier:` line claims `near-real-time`, which `tags:` does not carry (`real-time`). The page and the routing table name different budgets". GREEN with `budget_agreement` stubbed, and GREEN with check_budget_agreement gutted to `return [], 0, 0, []` -- so nothing else in the guard reports it	PROVEN both ways, CI row `the page claims a budget regime the tags do not carry`. Before this, criterion 6's 38 Tier lines were compared to nothing: `grep Tier: scripts/check.py` returned one unrelated comment about `sources:` keys
a budget tag must be NAMED on the page -- the direction criterion 6 is actually about	caustics.md: `real-time rasteriser and near-real-time ray-traced.` -> `real-time rasteriser.`, asserted UNIQUE (count == 1). The `tags:` line is untouched, so only the page stops saying it	red -- a reader can no longer tell the near-real-time regime from the page	red -- "references/caustics.md:17: `tags:` carries `near-real-time` and the `**Tier:` line never names it, so a reader cannot tell that regime from the page -- which is the whole reason the line exists". GREEN with `budget_agreement` stubbed and GREEN with the function gutted	PROVEN both ways, CI row `a budget tag the Tier line stops naming`. Two rows and not one because the rule is a PAIR of one-directional rules, not a set equality -- see the next row for why it cannot be one
`runtime` is EVIDENCE that a page names the real-time budget, never a CLAIM that it carries one	none -- an enumeration over the 38 Tier paragraphs. `runtime` appears in five of them: simulation-time-budget ("the boundary between authoring-time and runtime", tagged real-time) and driver-fields, flow-routing, node-graph-runtime, sea-ice ("the runtime consumes the baked fields" and kin, all tagged authoring-time only)	a symmetric rule cannot be green on all five	CONFIRMED, and it is what fixes the design: reading `runtime` symmetrically fails FOUR documents; refusing it entirely fails simulation-time-budget. The asymmetry is the only rule green on all five. Pinned by 7 BUDGET_FIXTURES in `--selftest`, four of which are exactly these cases, including `node-graph-runtime.md` -- a document NAME -- which must NOT register `runtime` at all	PROVEN by fixture, not by mutation. `--selftest` goes red if `_budget_tokens` stops distinguishing the two, which is the thing a future simplification would break
a `.md` cross-reference names a document that EXISTS (audit G#9)	gpu-driven-culling.md: `` `heightfield-raymarching.md` `` -> `` `heightfield-raymarch.md` ``, asserted UNIQUE (count == 1)	red, naming the file and the line	red -- "references/gpu-driven-culling.md:194: names `heightfield-raymarch.md`, and references/heightfield-raymarch.md does not exist. A cross-reference to a document nobody wrote sends the reader nowhere". GREEN with `path_exists` stubbed and GREEN with check_paths gutted. The re-rating's OWN experiment was also re-run: renaming `water-optics.md` to `water-optic.md` in caustics.md, which exited 0 before this, now exits 1 naming caustics.md:22	PROVEN both ways, CI row `a cross-reference to a document that does not exist`. 560 references across 48 documents and SKILL.md were unread; check_coverage validated the `-> target` column of coverage.md and stopped there, so ONE spelling of a dangling reference was a hard failure and the other was worth nothing
the front-matter and fenced-block exemptions are SCOPED, not a hole	insert `` `no-such-document.md` `` twice into tiled-streaming.md: once inside the fenced priority block, once in ordinary prose under `## Use this`	green inside the fence, red outside it -- the same name, the same file	EXACTLY THAT: green (exit 0) with the name inside the fence, red (exit 1, "references/tiled-streaming.md:... names `no-such-document.md`") with the same name in prose. The front-matter half is asserted by the corpus itself: heightfield-raymarching.md's `locator:` names README.md, a file in someone else's repository, and the run is green	PROVEN both ways. The fenced half is CI decoy row `a dangling .md name inside a fenced block`; the prose half was run locally. A guard that fired on either exemption would be red on the corpus the day it landed, which is how a guard gets stubbed
NOT CHECKED	bare `.md` names outside gaia's naming shape, including audit G#9's own named instance	-	check_paths reads a code span whose ENTIRE content is a lowercase-hyphenated `.md` name -- 560 of them. FIVE bare names at six sites are outside that shape and are NAMED in the run's output rather than checked: `19-fluid-simulation.md` (shallow-water.md, papers-simulation.md), `12-water-rendering.md`, `12b-water-provenance.md` (papers-simulation.md), `WorkGraphs.md` (node-graph-runtime.md), `ResourceBinding.md` (papers-rendering.md). The first is the instance PLAN.md names for G#9 (`shallow-water.md:212` when it was written, `:308` now) and it is STILL LIVE: as written it resolves to no path a reader can open, because the directory that would resolve it sits in a DIFFERENT code span. Enforcing the five would go red on four documents this guard's author does not own	OPEN -- needs the owners of shallow-water.md, papers-simulation.md, papers-rendering.md and node-graph-runtime.md. The repair is one move and fixes the class: put the directory INSIDE the span (`obsolete/terrain-renderer/references/19-fluid-simulation.md`), after which check_paths' shape test can be widened to every bare `.md` name. Filed as a corrections.tsv row, NOT APPLIED, file not owned
NOT PROVEN	`.py` and `.tsv` paths named in prose	-	check_paths reads `.md` only. A widened version was measured against the tree first and would be RED ON ARRIVAL: the execution register's harnesses are named in 12 documents (`hydraulic_geometry.py` x11 in river-networks.md alone, `colour_blend.py`, `constraint_solvers.py`, `m1_periodic_noise.py` and 6 more) and NONE of those files was ever committed. A guard red on 27 spans the day it lands is not a guard	OPEN -- it is a real gap and it is the register's problem, not the guard's: either the harnesses are committed or the documents stop naming them as if they were files. Recorded so nobody adds the check and reverts it a day later
